ENSG00000001167_LINE1661_NFYA_D_N2	CBF/NF-Y
ENSG00000163508_LINE3544_EOMES_D_N1	T-box
ENSG00000163623_LINE2421_NKX61_D	Homeodomain
ENSG00000163666_LINE2422_HESX1_D_N1	Homeodomain
ENSG00000163792_LINE248_TCF23_I	bHLH
ENSG00000163848_LINE1042_ZNF148_D	C2H2
ENSG00000163884_LINE1044_KLF15_D	C2H2
ENSG00000163909_LINE249_HEYL_I	bHLH
ENSG00000164011_LINE1045_ZNF691_I	C2H2
ENSG00000164048_LINE1047_ZNF589_D	C2H2
ENSG00000164093_LINE2428_PITX2_D	Homeodomain
ENSG00000164107_LINE250_HAND2_I	bHLH
ENSG00000164299_LINE3669_SPZ1_D_N1	Unknown
ENSG00000164330_LINE251_EBF1_D_N2	EBF1
ENSG00000164379_LINE2006_FOXQ1_D	Forkhead
ENSG00000164438_LINE2429_TLX3_I	Homeodomain
ENSG00000164458_LINE3548_T_D_N2	T-box
ENSG00000164532_LINE3549_TBX20_D_N2	T-box
ENSG00000164600_LINE428_NEUROD6_I_N7	bHLH
ENSG00000164651_LINE1050_SP8_D	C2H2
ENSG00000164683_LINE258_HEY1_D	bHLH
ENSG00000164736_LINE3425_SOX17_D	Sox
ENSG00000164749_LINE3040_HNF4G_D_N1	Nuclear
ENSG00000164778_LINE2430_EN2_D_N2	Homeodomain
ENSG00000164853_LINE2432_UNCX_D_N1	Homeodomain
ENSG00000164900_LINE2434_GBX1_D	Homeodomain
ENSG00000164916_LINE2007_FOXK1_D_N1	Forkhead
ENSG00000164920_LINE1051_OSR2_I	C2H2
ENSG00000165030_LINE463_NFIL3_D_N4	bZIP
ENSG00000165066_LINE2435_NKX63_I	Homeodomain
ENSG00000165156_LINE2436_ZHX1_D	Homeodomain
ENSG00000165259_LINE2437_HDX_I	Homeodomain
ENSG00000165462_LINE2438_PHOX2A_D	Homeodomain
ENSG00000165495_LINE2439_PKNOX2_D	Homeodomain
ENSG00000165556_LINE2444_CDX2_D_N3	Homeodomain
ENSG00000165588_LINE2449_OTX2_D_N2	Homeodomain
ENSG00000165606_LINE2451_DRGX_D	Homeodomain
ENSG00000165702_LINE1058_GFI1B_D	C2H2
ENSG00000165804_LINE1060_ZNF219_D	C2H2
ENSG00000165891_LINE1774_E2F7_D_N1	E2F
ENSG00000166211_LINE1923_SPIC_D	Ets
ENSG00000166261_LINE1063_ZNF202_I	C2H2
ENSG00000166478_LINE1065_ZNF143_D_N2	C2H2
ENSG00000166823_LINE260_MESP1_D	bHLH
ENSG00000166888_LINE3492_STAT6_D_N1	STAT
ENSG00000166949_LINE3324_SMAD3_D_N1	SMAD
ENSG00000167034_LINE2454_NKX31_D_N3	Homeodomain
ENSG00000167074_LINE470_TEF_D_N3	bZIP
ENSG00000167081_LINE2461_PBX3_D_N2	Homeodomain
ENSG00000167157_LINE2464_PRRX2_D_N2	Homeodomain
ENSG00000167182_LINE1077_SP2_D_N1	C2H2
ENSG00000167800_LINE3554_TBX10_I	T-box
ENSG00000167840_LINE1104_ZNF232_D	C2H2
ENSG00000167967_LINE1107_E4F1_D	C2H2
ENSG00000168214_LINE1691_RBPJ_D	CSL
ENSG00000168267_LINE261_PTF1A_D	bHLH
ENSG00000168269_LINE2010_FOXI1_D_N2	Forkhead
ENSG00000168310_LINE2755_IRF2_D_N2	IRF
ENSG00000168505_LINE2466_GBX2_D_N2	Homeodomain
ENSG00000168610_LINE3506_STAT3_D_N5	STAT
ENSG00000168779_LINE2469_SHOX2_D	Homeodomain
ENSG00000168826_LINE1113_ZBTB49_D	C2H2
ENSG00000168874_LINE262_ATOH8_I	bHLH
ENSG00000168875_LINE3427_SOX14_D_N1	Sox
ENSG00000169016_LINE1781_E2F6_D_N5	E2F
ENSG00000169057_LINE2826_MECP2_D	MBD
ENSG00000169083_LINE3053_AR_D_N3	Nuclear
ENSG00000169136_LINE475_ATF5_D	bZIP
ENSG00000169297_LINE3679_NR0B1_D	Unknown
ENSG00000169635_LINE1117_HIC2_D	C2H2
ENSG00000169740_LINE1118_ZNF32_I	C2H2
ENSG00000169840_LINE2470_GSX1_D	Homeodomain
ENSG00000169856_LINE1708_ONECUT1_D_N3	CUT,Homeodomain
ENSG00000169926_LINE1120_KLF13_D	C2H2
ENSG00000169953_LINE2710_HSFY2_D_N2	HSF
ENSG00000169981_LINE1124_ZNF35_I	C2H2
ENSG00000170122_LINE2821_FOXD4_I_N50	Forkhead
ENSG00000170166_LINE2471_HOXD4_D	Homeodomain
ENSG00000170178_LINE2472_HOXD12_D_N2	Homeodomain
ENSG00000170265_LINE1127_ZNF282_D	C2H2
ENSG00000170345_LINE476_FOS_D_N4	bZIP
ENSG00000170365_LINE3328_SMAD1_D	SMAD
ENSG00000170370_LINE2476_EMX2_D_N1	Homeodomain
ENSG00000170374_LINE1129_SP7_I	C2H2
ENSG00000170485_LINE263_NPAS2_I	bHLH
ENSG00000170549_LINE2478_IRX1_I	Homeodomain
ENSG00000170561_LINE2479_IRX2_D	Homeodomain
ENSG00000170577_LINE2480_SIX2_I	Homeodomain
ENSG00000170581_LINE3510_STAT2_D_N2	STAT
ENSG00000170608_LINE2016_FOXA3_D	Forkhead
ENSG00000170653_LINE486_ATF7_D	bZIP,C2H2
ENSG00000170689_LINE2481_HOXB9_I	Homeodomain
ENSG00000170802_LINE7873_FOXN2_I_N8	Forkhead
ENSG00000171056_LINE3431_SOX7_D_N1	Sox
ENSG00000171169_LINE2768_NAIF1_I	MADF
ENSG00000171223_LINE487_JUNB_D_N3	bZIP
ENSG00000171443_LINE1140_ZNF524_D_N1	C2H2
ENSG00000171532_LINE264_NEUROD2_D	bHLH
ENSG00000171540_LINE2483_OTP_I	Homeodomain
ENSG00000171606_LINE1149_ZNF274_D_N2	C2H2
ENSG00000171634_LINE3685_BPTF_D_N1	Unknown
ENSG00000171786_LINE269_NHLH1_D_N3	bHLH
ENSG00000171956_LINE2021_FOXB1_D_N2	Forkhead
ENSG00000172059_LINE3300_KLF11_I_N3	C2H2
ENSG00000172216_LINE498_CEBPB_D_N8	bZIP
ENSG00000172238_LINE964_ATOH1_I_N6	bHLH
ENSG00000172273_LINE1160_HINFP_D_N3	C2H2
ENSG00000172379_LINE273_ARNT2_D	bHLH
ENSG00000172468_LINE2715_HSFY1_I	HSF
ENSG00000172789_LINE2485_AC0125311_I	Homeodomain
ENSG00000172818_LINE1168_OVOL1_D	C2H2
ENSG00000172819_LINE3056_RARG_D_N2	Nuclear
ENSG00000172845_LINE1170_SP3_D_N1	C2H2
ENSG00000173039_LINE3227_RELA_D_N13	Rel
ENSG00000173153_LINE3073_ESRRA_D_N4	Nuclear
ENSG00000173253_LINE1736_DMRT2_D	DM
ENSG00000173404_LINE1178_INSM1_D_N2	C2H2
ENSG00000173757_LINE3511_STAT5B_D_N2	STAT
ENSG00000173917_LINE2486_HOXB2_D	Homeodomain
ENSG00000173976_LINE2487_RAX2_D	Homeodomain
ENSG00000174197_LINE321_MGA_D_N1	bHLH,T-box
ENSG00000174279_LINE2489_EVX2_D	Homeodomain
ENSG00000174282_LINE1183_ZBTB4_D_N1	C2H2
ENSG00000174332_LINE1185_GLIS1_D	C2H2
ENSG00000174576_LINE275_NPAS4_I	bHLH
ENSG00000174738_LINE6612_NR1D2_I_N1	Nuclear
ENSG00000174963_LINE1189_ZIC4_D	C2H2
ENSG00000175197_LINE504_DDIT3_D	bZIP
ENSG00000175325_LINE2492_PROP1_D_N2	Homeodomain
ENSG00000175329_LINE2496_ISX_D_N2	Homeodomain
ENSG00000175592_LINE505_FOSL1_D_N3	bZIP
ENSG00000175727_LINE276_MLXIP_I	bHLH
ENSG00000175745_LINE3087_NR2F1_D_N4	Nuclear
ENSG00000175832_LINE1926_ETV4_D_N1	Ets
ENSG00000175879_LINE2498_HOXD8_D	Homeodomain
ENSG00000176083_LINE1197_ZNF683_I	C2H2
ENSG00000176165_LINE2023_FOXG1_D_N1	Forkhead
ENSG00000176182_LINE2869_MYPOP_I	Myb/SANT
ENSG00000176678_LINE2028_FOXL1_D_N1	Forkhead
ENSG00000176679_LINE2500_TGIF2LY_I	Homeodomain
ENSG00000176692_LINE2032_FOXC2_D_N1	Forkhead
ENSG00000176842_LINE2501_IRX5_D	Homeodomain
ENSG00000176887_LINE3434_SOX11_I	Sox
ENSG00000177045_LINE2505_SIX5_D_N1	Homeodomain
ENSG00000177374_LINE1207_HIC1_D	C2H2
ENSG00000177426_LINE2507_TGIF1_D_N1	Homeodomain
ENSG00000177463_LINE3097_NR2C2_D_N4	Nuclear
ENSG00000177468_LINE279_OLIG3_D	bHLH
ENSG00000177485_LINE1208_ZBTB33_D_N1	C2H2
ENSG00000177508_LINE2511_IRX3_I	Homeodomain
ENSG00000177551_LINE280_NHLH2_I	bHLH
ENSG00000177606_LINE517_JUN_D_N5	bZIP
ENSG00000177732_LINE3435_SOX12_I	Sox
ENSG00000177932_LINE1220_ZNF354C_D	C2H2
ENSG00000178403_LINE282_NEUROG2_D_N2	bHLH
ENSG00000178573_LINE525_MAF_D	bZIP
ENSG00000178665_LINE1229_ZNF713_D	C2H2
ENSG00000178860_LINE283_MSC_D	bHLH
ENSG00000178919_LINE2036_FOXE1_I	Forkhead
ENSG00000178951_LINE1236_ZBTB7A_D_N1	C2H2
ENSG00000179059_LINE3477_ZFP42_I_N14	C2H2
ENSG00000179111_LINE284_HES7_D	bHLH
ENSG00000179348_LINE2120_GATA2_D_N9	GATA
ENSG00000179361_LINE51_ARID3B_I	ARID/BRIGHT
ENSG00000179388_LINE1241_EGR3_D_N2	C2H2
ENSG00000179456_LINE1245_ZNF238_D_N4	C2H2
ENSG00000179528_LINE2514_LBX2_D_N1	Homeodomain
ENSG00000179627_LINE1250_ZBTB42_I	C2H2
ENSG00000179772_LINE2037_FOXS1_I	Forkhead
ENSG00000179774_LINE285_ATOH7_I	bHLH
ENSG00000179922_LINE1252_ZNF784_D	C2H2
ENSG00000180053_LINE2516_NKX26_I	Homeodomain
ENSG00000180318_LINE2519_ALX1_D_N2	Homeodomain
ENSG00000180532_LINE1261_ZSCAN4_D	C2H2
ENSG00000180535_LINE286_BHLHA15_D	bHLH
ENSG00000180613_LINE2520_GSX2_D	Homeodomain
ENSG00000180806_LINE2521_HOXC9_I	Homeodomain
ENSG00000180818_LINE2522_HOXC10_D_N2	Homeodomain
ENSG00000180828_LINE287_BHLHE22_D	bHLH
ENSG00000181449_LINE3441_SOX2_D_N2	Sox
ENSG00000181690_LINE1275_PLAG1_D_N1	C2H2
ENSG00000181827_LINE3264_RFX7_I	RFX
ENSG00000181965_LINE288_NEUROG1_I	bHLH
ENSG00000182158_LINE526_CREB3L2_I	bZIP
ENSG00000182521_LINE3570_TBPL2_I	TBP
ENSG00000182742_LINE2525_HOXB4_I	Homeodomain
ENSG00000182759_LINE530_MAFA_D	bZIP
ENSG00000182968_LINE3445_SOX1_I	Sox
ENSG00000183072_LINE2526_NKX25_D_N2	Homeodomain
ENSG00000183434_LINE1741_TFDP3_I	E2F
ENSG00000183733_LINE289_FIGLA_D	bHLH
ENSG00000183734_LINE290_ASCL2_I	bHLH
ENSG00000183770_LINE8732_FOXL2_I_N51	Forkhead
ENSG00000184058_LINE3555_TBX1_D_N1	T-box
ENSG00000184221_LINE291_OLIG1_D	bHLH
ENSG00000184271_LINE2532_POU6F1_D_N2	Homeodomain
ENSG00000184302_LINE2534_SIX6_I	Homeodomain
ENSG00000184481_LINE2039_FOXO4_D_N3	Forkhead
ENSG00000184486_LINE2675_POU3F2_D_N1	Homeodomain,POU
ENSG00000184492_LINE3262_FOXD4L1_I_N53	Forkhead
ENSG00000184659_LINE9166_FOXD4L4_I_N47	Forkhead
ENSG00000184828_LINE1301_ZBTB7C_D	C2H2
ENSG00000184895_LINE3448_SRY_D_N3	Sox
ENSG00000184937_LINE1305_WT1_D	C2H2
ENSG00000185002_LINE3265_RFX6_I	RFX
ENSG00000185022_LINE534_MAFF_D_N2	bZIP
ENSG00000185122_LINE2726_HSF1_D_N4	HSF
ENSG00000185129_LINE3691_PURA_D	Unknown
ENSG00000185155_LINE2536_MIXL1_D	Homeodomain
ENSG00000185507_LINE2759_IRF7_D_N1	IRF
ENSG00000185551_LINE3106_NR2F2_D_N2	Nuclear
ENSG00000185591_LINE1321_SP1_D_N5	C2H2
ENSG00000185610_LINE2537_DBX2_I	Homeodomain
ENSG00000185630_LINE2538_PBX1_D_N4	Homeodomain
ENSG00000185668_LINE2682_POU3F1_D_N1	Homeodomain,POU
ENSG00000185669_LINE1323_SNAI3_I	C2H2
ENSG00000185670_LINE1324_ZBTB3_I	C2H2
ENSG00000185697_LINE2870_MYBL1_D_N1	Myb/SANT
ENSG00000185811_LINE1326_IKZF1_D_N3	C2H2
ENSG00000185960_LINE2546_SHOX_D_N2	Homeodomain
ENSG00000186051_LINE511_TAL2_I_N1	bHLH
ENSG00000186130_LINE1341_ZBTB6_D_N2	C2H2
ENSG00000186350_LINE3116_RXRA_D_N3	Nuclear
ENSG00000186376_LINE1345_ZNF75D_I	C2H2
ENSG00000186564_LINE2047_FOXD2_D_N1	Forkhead
ENSG00000186766_LINE2049_FOXI2_I	Forkhead
ENSG00000186790_LINE2050_FOXE3_I	Forkhead
ENSG00000186951_LINE3121_PPARA_D_N1	Nuclear
ENSG00000187079_LINE3576_TEAD1_D_N3	TEA
ENSG00000187098_LINE295_MITF_D	bHLH
ENSG00000187140_LINE2054_FOXD3_D_N2	Forkhead
ENSG00000187559_LINE3779_FOXD4L3_I_N47	Forkhead
ENSG00000187626_LINE1355_ZKSCAN4_I	C2H2
ENSG00000188095_LINE300_MESP2_I	bHLH
ENSG00000188290_LINE301_HES4_I	bHLH
ENSG00000188620_LINE2548_HMX3_D	Homeodomain
ENSG00000188786_LINE1372_MTF1_D_N2	C2H2
ENSG00000188816_LINE2549_HMX2_D	Homeodomain
ENSG00000188909_LINE2550_BSX_D	Homeodomain
ENSG00000189079_LINE54_ARID2_I	ARID/BRIGHT,RFX
ENSG00000189120_LINE1378_SP6_I	C2H2
ENSG00000189298_LINE1383_ZKSCAN3_D	C2H2
ENSG00000189308_LINE1715_LIN54_I	TCR/CxC
ENSG00000196092_LINE3170_PAX5_D_N8	Paired
ENSG00000196233_LINE3181_LCOR_I	Pipsqueak
ENSG00000196460_LINE3266_RFX8_I	RFX
ENSG00000196482_LINE3129_ESRRG_D_N2	Nuclear
ENSG00000196628_LINE303_TCF4_D_N3	bHLH
ENSG00000196767_LINE2686_POU3F4_D_N1	Homeodomain,POU
ENSG00000196812_LINE1427_ZSCAN16_D	C2H2
ENSG00000196843_LINE52_ARID5A_I	ARID/BRIGHT
ENSG00000197062_LINE3797_ZNF187_I	C2H2
ENSG00000197063_LINE538_MAFG_D_N1	bZIP
ENSG00000197576_LINE16129_HOXA4_I_N70	Homeodomain
ENSG00000197579_LINE3699_TOPORS_D	Unknown
ENSG00000197587_LINE2552_DMBX1_D	Homeodomain
ENSG00000197757_LINE2553_HOXC6_D	Homeodomain
ENSG00000197905_LINE3584_TEAD4_D_N1	TEA
ENSG00000197921_LINE306_HES5_D_N2	bHLH
ENSG00000198081_LINE3836_ZFP161_I	C2H2
ENSG00000198176_LINE1742_TFDP1_D	E2F
ENSG00000198353_LINE2554_HOXC5_I	Homeodomain
ENSG00000198517_LINE543_MAFK_D_N5	bZIP
ENSG00000198740_LINE1514_ZNF652_I	C2H2
ENSG00000198807_LINE3179_PAX9_D	Paired
ENSG00000198815_LINE2057_FOXJ3_D_N1	Forkhead
ENSG00000198911_LINE308_SREBF2_D_N1	bHLH
ENSG00000198914_LINE2689_POU3F3_D_N1	Homeodomain,POU
ENSG00000198963_LINE18386_RORB_I_N9	Nuclear
ENSG00000203883_LINE3459_SOX18_D_N1	Sox
ENSG00000204060_LINE2062_FOXO6_D_N1	Forkhead
ENSG00000204103_LINE553_MAFB_D	bZIP
ENSG00000204231_LINE3132_RXRB_D_N1	Nuclear
ENSG00000204304_LINE2556_PBX2_D	Homeodomain
ENSG00000204335_LINE1520_SP5_I	C2H2
ENSG00000204366_LINE1521_ZBTB12_I	C2H2
ENSG00000204531_LINE2693_POU5F1_D_N2	Homeodomain,POU
ENSG00000204595_LINE2559_DPRX_D_N2	Homeodomain
ENSG00000204612_LINE2065_FOXB2_I	Forkhead
ENSG00000204779_LINE4053_FOXD4L5_I_N47	Forkhead
ENSG00000205143_LINE53_ARID3C_I	ARID/BRIGHT
ENSG00000205250_LINE1789_E2F4_D_N4	E2F
ENSG00000205922_LINE1713_ONECUT3_D	CUT,Homeodomain
ENSG00000205927_LINE315_OLIG2_D_N2	bHLH
ENSG00000212993_LINE2696_POU5F1B_D_N1	Homeodomain
ENSG00000213676_LINE554_ATF6B_I	bZIP
ENSG00000213928_LINE2765_IRF9_D_N1	IRF
ENSG00000213999_LINE2814_MEF2B_D	MADS
ENSG00000214513_LINE2565_NOTO_D	Homeodomain
ENSG00000214575_LINE3701_CPEB1_D	Unknown
ENSG00000214717_LINE3702_ZBED1_D	BED
ENSG00000215271_LINE2566_HOMEZ_D	Homeodomain
ENSG00000215397_LINE1563_SCRT2_D	C2H2
ENSG00000215612_LINE2567_HMX1_D	Homeodomain
ENSG00000217236_LINE1567_SP9_I	C2H2
ENSG00000221869_LINE558_CEBPD_D_N2	bZIP
ENSG00000227059_LINE2575_AC2261502_D	Homeodomain
ENSG00000229544_LINE2582_ENSG00000229544_I	Homeodomain
ENSG00000230797_LINE1592_YY2_D_N2	C2H2
ENSG00000233608_LINE317_TWIST2_I	bHLH
ENSG00000235608_LINE2597_NKX11_I	Homeodomain
ENSG00000244405_LINE1929_ETV5_D_N1	Ets
ENSG00000245848_LINE568_CEBPA_D_N4	bZIP
ENSG00000250709_LINE562_C13orf38SOHLH2_I	bHLH
ENSG00000251493_LINE2070_FOXD1_D	Forkhead
ENSG00000256683_LINE3706_ZNF350_D	C2H2
ENSG00000260596_LINE2603_DUX4_D	Homeodomain
